Module                  Size  Used by
ccm                    20480  6
rfcomm                102400  4
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
qrtr                   53248  2
cmac                   12288  3
algif_hash             16384  1
algif_skcipher         16384  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   32768  2
binfmt_misc            24576  1
snd_sof_amd_acp63      16384  0
snd_sof_amd_vangogh    16384  0
snd_sof_amd_rembrandt    16384  0
snd_sof_amd_renoir     16384  0
nls_iso8859_1          12288  1
intel_rapl_msr         20480  0
snd_sof_amd_acp        61440  4 snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_pci            24576  4 snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
amd_atl                69632  1
snd_sof_xtensa_dsp     12288  1 snd_sof_amd_acp
intel_rapl_common      53248  1 intel_rapl_msr
snd_sof               385024  2 snd_sof_amd_acp,snd_sof_pci
amdgpu              20025344  35
edac_mce_amd           28672  0
snd_sof_utils          16384  1 snd_sof
snd_pci_ps             24576  0
snd_amd_sdw_acpi       16384  2 snd_sof_amd_acp,snd_pci_ps
kvm_amd               245760  0
soundwire_amd          45056  2 snd_sof_amd_acp,snd_pci_ps
snd_ctl_led            24576  0
snd_hda_codec_realtek   208896  1
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
snd_hda_scodec_component    20480  1 snd_hda_codec_realtek
soundwire_generic_allocation    12288  1 soundwire_amd
snd_hda_codec_hdmi     98304  1
soundwire_bus         122880  2 soundwire_generic_allocation,soundwire_amd
snd_hda_intel          61440  2
kvm                  1421312  1 kvm_amd
snd_intel_dspcfg       45056  2 snd_hda_intel,snd_sof
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
uvcvideo              143360  0
snd_soc_core          434176  2 snd_sof,soundwire_amd
videobuf2_vmalloc      20480  1 uvcvideo
btusb                  69632  0
uvc                    12288  1 uvcvideo
btrtl                  36864  1 btusb
snd_hda_codec         204800  4 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek
snd_compress           28672  1 snd_soc_core
snd_hda_core          143360  5 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek
videobuf2_memops       16384  1 videobuf2_vmalloc
btintel                69632  1 btusb
crct10dif_pclmul       12288  1
snd_hwdep              20480  1 snd_hda_codec
rtw88_8821ce           12288  0
amdxcp                 12288  1 amdgpu
polyval_clmulni        12288  0
videobuf2_v4l2         36864  1 uvcvideo
btbcm                  24576  1 btusb
rtw88_8821c            94208  1 rtw88_8821ce
ac97_bus               12288  1 snd_soc_core
drm_exec               12288  1 amdgpu
snd_seq_midi           24576  0
videodev              360448  2 videobuf2_v4l2,uvcvideo
polyval_generic        12288  1 polyval_clmulni
btmtk                  36864  1 btusb
gpu_sched              61440  1 amdgpu
rtw88_pci              36864  1 rtw88_8821ce
ee1004                 16384  0
snd_pcm_dmaengine      16384  1 snd_soc_core
snd_seq_midi_event     16384  1 snd_seq_midi
ghash_clmulni_intel    16384  0
bluetooth            1028096  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
rtw88_core            360448  2 rtw88_pci,rtw88_8821c
drm_buddy              24576  1 amdgpu
sha256_ssse3           32768  0
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
snd_rpl_pci_acp6x      16384  0
snd_rawmidi            57344  1 snd_seq_midi
snd_acp_pci            12288  0
drm_suballoc_helper    20480  1 amdgpu
sha1_ssse3             32768  0
snd_acp_legacy_common    16384  1 snd_acp_pci
aesni_intel           122880  8
drm_ttm_helper         16384  1 amdgpu
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
snd_pci_acp6x          16384  0
mac80211             1777664  2 rtw88_pci,rtw88_core
hp_wmi                 36864  0
snd_pcm               196608  13 snd_sof_amd_acp,snd_hda_codec_hdmi,snd_pci_acp6x,snd_hda_intel,snd_hda_codec,snd_sof,snd_compress,snd_soc_core,snd_sof_utils,soundwire_amd,snd_hda_core,snd_pci_ps,snd_pcm_dmaengine
crypto_simd            16384  1 aesni_intel
